title,text,rating,author,date,url,company,source_type,source_platform,search_keyword,collected_at
,괜찮은듯 새해에 해보세여,5,발컨베어,2026-01-14 19:51:01,https://play.google.com/store/apps/details?id=kr.epopsoft.word,malhae,review,playstore,말해보카,2026-01-18T14:34:37.234632
,너무좋아용 다들 안 쓰면 후회할것같아요,4,김시윤,2026-01-14 17:23:39,https://play.google.com/store/apps/details?id=kr.epopsoft.word,malhae,review,playstore,말해보카,2026-01-18T14:34:37.234632
,레전드 레전드,5,임승주,2026-01-14 15:55:28,https://play.google.com/store/apps/details?id=kr.epopsoft.word,malhae,review,playstore,말해보카,2026-01-18T14:34:37.234632
,말해보카 너무 좋아요~,5,문영숙,2026-01-14 15:02:59,https://play.google.com/store/apps/details?id=kr.epopsoft.word,malhae,review,playstore,말해보카,2026-01-18T14:34:37.234632
,좋아요 원하는 부분을 쉽게 도진하게 해주네요,4,김혁용,2026-01-14 14:58:54,https://play.google.com/store/apps/details?id=kr.epopsoft.word,malhae,review,playstore,말해보카,2026-01-18T14:34:37.234632
,무조건 유료결제해야지 학습 가능하게 만들어놨네요,1,Iron Sky,2026-01-14 14:52:41,https://play.google.com/store/apps/details?id=kr.epopsoft.word,malhae,review,playstore,말해보카,2026-01-18T14:34:37.234632
,만족합니다,5,김수환,2026-01-14 14:30:35,https://play.google.com/store/apps/details?id=kr.epopsoft.word,malhae,review,playstore,말해보카,2026-01-18T14:34:37.234632
,재미있어서 매일하게되니 공부가 되네요.,5,장새롬,2026-01-14 13:51:54,https://play.google.com/store/apps/details?id=kr.epopsoft.word,malhae,review,playstore,말해보카,2026-01-18T14:34:37.234632
,배우기 쉬워서 넘 좋아요,5,은다연,2026-01-14 13:49:02,https://play.google.com/store/apps/details?id=kr.epopsoft.word,malhae,review,playstore,말해보카,2026-01-18T14:34:37.234632
,재미있어요. 공부에 흥미를 느낄 수 있기에 만족합니다.,5,Seunghan Kim,2026-01-14 13:18:59,https://play.google.com/store/apps/details?id=kr.epopsoft.word,malhae,review,playstore,말해보카,2026-01-18T14:34:37.234632
,좋아요,5,유병호,2026-01-14 13:18:09,https://play.google.com/store/apps/details?id=kr.epopsoft.word,malhae,review,playstore,말해보카,2026-01-18T14:34:37.234632
,언어학습 앱 중에 말해보카가 제일 좋아요..🫶🏻 홍보 많이 할게요 프랑스어도 만들어주세요 제발..🥹🥹,5,서연,2026-01-14 13:14:36,https://play.google.com/store/apps/details?id=kr.epopsoft.word,malhae,review,playstore,말해보카,2026-01-18T14:34:37.234632
,혹시 이 앱 유료인가요? 현질유도하고 현질안하면 더이상 진행이 안되는데,1,내위에돌맹이,2026-01-14 12:19:08,https://play.google.com/store/apps/details?id=kr.epopsoft.word,malhae,review,playstore,말해보카,2026-01-18T14:34:37.234632
,간단하게 하루 한번씩 접속해서 공부하기 좋네요,5,Jongjun Jeon (쓰리제이),2026-01-14 07:50:36,https://play.google.com/store/apps/details?id=kr.epopsoft.word,malhae,review,playstore,말해보카,2026-01-18T14:34:37.234632
,좋음,5,문상인,2026-01-14 06:47:49,https://play.google.com/store/apps/details?id=kr.epopsoft.word,malhae,review,playstore,말해보카,2026-01-18T14:34:37.234632
,첫 수업 마치고 리뷰 남깁니다. 이렇게 영어 배우면 금방 늘거라는 확신이 듭니다.,5,이윤섭,2026-01-14 02:28:26,https://play.google.com/store/apps/details?id=kr.epopsoft.word,malhae,review,playstore,말해보카,2026-01-18T14:34:37.234632
,재밌고매일하게됩니다!!,5,Dongsub Shim,2026-01-14 00:17:05,https://play.google.com/store/apps/details?id=kr.epopsoft.word,malhae,review,playstore,말해보카,2026-01-18T14:34:37.234632
,"틀린 내용 꾸준히 복습 가능, 단어장 추가 가능 전부 맘에 드는데 리스닝으로 사용하긴 좀 힘드네요 자꾸 말하지 않은 단어가 입력되어 정답처리 되는 경우가 많습니다. 항상 문장 전체를 읽는데 문장 안에 정답인 단어가 있거나, 비슷한 발음을 가진 단어가 있으면 정답처리 되는게 좀 심하네요. 단어 입력 뿐 아니라 오답 내용도 문장 내 다른 단어 관련 해석.. 결국 내가 입력한 단어 관련 해석을 보려면 키보드로 다시 쳐야 합니다. 그래서 그 단어 하나만 발음하면 입력이 잘 안됩니다. 발음 진단도 해보고, 단어 발음 진단에서 80~90% 일치 달성해도 입력 안 되는 경우가 있습니다. 이런 경우까진 이해하겠는데 말하지 않은 단어가 자동으로 입력되는 경우 좀 스트레스 받네요. 음성인식 자체의 오류인 건가 싶어 좀 아쉽긴 합니다.",3,정서현,2026-01-13 23:50:25,https://play.google.com/store/apps/details?id=kr.epopsoft.word,malhae,review,playstore,말해보카,2026-01-18T14:34:37.234632
,틈틈히 공부할수 있어 아주 유용해요,5,안혜주,2026-01-13 23:40:34,https://play.google.com/store/apps/details?id=kr.epopsoft.word,malhae,review,playstore,말해보카,2026-01-18T14:34:37.234632
,공부도 되고 재밌어요,5,권환희,2026-01-13 23:06:16,https://play.google.com/store/apps/details?id=kr.epopsoft.word,malhae,review,playstore,말해보카,2026-01-18T14:34:37.234632
,화하화는데 인식이 너무느리네요. 다른거는 다 좋네요 제발 좀 빨리되게 해주세요,4,김민영,2026-01-13 22:59:03,https://play.google.com/store/apps/details?id=kr.epopsoft.word,malhae,review,playstore,말해보카,2026-01-18T14:34:37.234632
,깔아두고 몇년만에 업데이트하고 해봤는데 진작 좀 할걸 후회되네요,5,윤성하마,2026-01-13 22:49:58,https://play.google.com/store/apps/details?id=kr.epopsoft.word,malhae,review,playstore,말해보카,2026-01-18T14:34:37.234632
,혹시 결과를 사진으로 칙을수 있을까요? (갑자기 100점 나옴♡♡),4,이쥉,2026-01-13 22:36:24,https://play.google.com/store/apps/details?id=kr.epopsoft.word,malhae,review,playstore,말해보카,2026-01-18T14:34:37.234632
