title,text,rating,author,date,company,source_type,source_platform,search_keyword,url,collected_at
가로모드 만들어주세요!!,가로모드 만들어주세요!! 휴대할 때 필요합니다. 가로모드 지원되면 바로 연간 결제 할게요!!,5,보람찬정병장,2025-07-11T20:34:10-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
광고 좀 줄여라,망힐 광고가 너무 과하게 나옴… 좀 줄여라,1,lajeu78,2025-07-09T07:35:18-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
멋져요,영어 못하는 엄마라 아이들에게 알려주기도 민망할때도 있는데 함께하며누좋을어플일것같네요 ㅎㅎ,5,참말로잼,2025-07-01T23:23:33-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
케이크 영어공부가 잘 되요,한번씩 영어문장 생각할때 도움이 잘 되는것 같아요,5,delfhi,2025-06-30T06:19:42-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
영어공부,열심히 해볼게요,5,체육윤선생,2025-06-26T17:11:31-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
좋아오,아주 좋습니다,5,거봉언니짱,2025-06-21T10:42:45-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
뇌 활용좀하고싶어서 다운받음,잊엇던 문장들을 공부할수잇어 좋아오,5,똑또카게,2025-06-21T08:19:49-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
1일차,우선 기대해 본다,5,김가득,2025-06-20T20:44:18-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
좋아요~,공부하고 싶게 만들어요,5,이스칸다,2025-06-15T17:18:46-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
wonderful,realy wonderful,5,november pine,2025-06-11T04:52:35-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
좋아요,좋습니다,5,wghxxxhgd,2025-06-11T01:24:53-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
D,D,5,초심찾는중임,2025-06-06T09:38:06-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
