platform,rating,title,text,author,date,version
App Store,5,생각보다 더 탄탄한 공부가 되네요,"링글의 학습 뎁스는 기대보다 꽤 깊습니다
교재도 엄청 많고 교재마다 예습 질문도 잘 짜여있구요 
복습 자료도 꽤 입체적이고 구체적입니다

처음엔 온라인 영어수업인데
예습-학습-복습까지 해야할 게 좀 많네 싶었거든요
근데 복습까지 마치는 루틴을 한번 돌아보니
제대로 공부한 느낌이 들어서 좋았어요

사실 오프라인이든 온라인이든 영어공부는 이렇게 하는 게 맞는 걸텐데 온라인 수업이라고 스스로 좀 라이트하게 생각했던 것 같아요

이후로도 계속 꾸준히 써볼 의향이 있습니다",변혜인,2022-12-13,7.15.15
App Store,5,출퇴근할때 편하게 보고 있어요,앱 안에 컨텐츠랑 자료들을 무료로 볼 수 있어서 이용에 부담 없어 좋습니다,환불해주세요 슈퍼차이니즈,2022-12-11,7.15.10
App Store,5,링글,"링글 어플로 퀄리티 좋은 콘텐츠들 확인할 수 있어서 출퇴근때 짬짬히 공부하기 좋음 
내가 만난 튜터들도 다 좋아서 계속 이걸로 공부할 예정 
프로모션때 결제하면 괜춘!!",yoonelisa,2022-12-08,7.15.10
App Store,5,좋아요,빠르고 보기 편해서 좋아용!,wlals3864,2022-12-07,7.15.10
App Store,5,내 영어 장벽을 허물어주는 플랫폼,"링글 없었으면 영어공부 혼자 삽질했을 생각하니 아득합니다. 튜터나 교재 퀄리티도 좋은데, 일단 유저 개선사항이 진짜 빨리 반영되는 것 같아요 ㅠ 토종 한국인으로서 외국으로 나가는 꿈을 꿀 수 있게 해줘서 넘 좋습니다",liamyoum,2022-12-07,7.15.10
App Store,5,너무 쓰기 좋음,"수업할 때 PC를 이용하지만, 출퇴근 길에 링글 앱을 이용해 수업예약/예습/북습/수업변경까지 쉽게 처리할 수 있어서 너무 좋습니다! 수업 아람도 꾸준히 푸시메세지를 해줘서 너무 든든한 서비스!!",좋운 것만 추천,2022-12-06,7.15.10
App Store,1,기획자 없습니까??,"뭔 앱이 들어갈때마다 업데이트를 합니까???
빡쳐서 링글 끊을려고 합니다",몬시터,2022-12-02,7.15.10
App Store,2,업데이트좀 그만해주세요,업데이트가 너무 잦아요 제발 좀 모아서 한번에 해주면 안되나요? 앱 들어갈때마다 1분넘게기다리는게 기본이네요,Dkswldug,2022-11-19,7.15.10
App Store,5,링글 뭐임?,"제가 진찌 이런 리뷰 안남기는데 링글은 영어회화에 있어서 혁신적입니다. 이게 한국에서 만들어진건가요?? 그렇다면 매우 자랑스러울 것 같습니다. 진짜 이앱은 미쳤고 너무 체계적이고 진짜 미쳤읍니다…….,,,.. 다만 단점은 좀 비싸다는거? 긍데 비싼값을 합니다.!! 이 리뷰보는 여러분들 당장 링.글 하세요🥹🥹🥹",jangni1031,2022-11-19,7.15.10
App Store,3,어플 접속이 안되고 계속 업데이트만 반복돼요,"어플 접속이 안되고 계속 업데이트만 반복돼요.
어플을 지웠다가 새로 다시 깔아도 마찬가지입니다.",Jeongmish,2022-11-15,7.15.4
App Store,1,어플은 대체...,"정말 만족하면서 링글 이용중입니다. 그런데 어플은 좀 어떻게 잘 안될까요? 매번 들어갈때마다 업데이트 한다고 로딩걸리고, 제대로 실행 안되는 경우도 너무 많고요. 어플 정상화 좀 제발 부탁드립니다",링글러,2022-11-09,7.15.4
App Store,3,업데이트 너무 많이해요,하루에도 몇 번씩 업데이트 하네요.. 앱 들어갈때마다 업데이트가 돼요,국민화나게만드네,2022-10-07,7.14.1
