data_id,company,source_type,source_platform,search_keyword,title,text,rating,author,date,url,collected_at
71,maxai,sns,youtube,위버스브레인,,"다음 챌린지도 기대해주세요!
영상도 좋아요 꾸욱 눌러주세요!!
 …
...더보기",,,,https://www.youtube.com/watch?v=h4cTm3lNbvk,2026-01-18T14:04:06.896116
72,maxai,sns,youtube,위버스브레인,,"오늘은 허준님과 중동학자 박현도 교수님, 유라시아 고고학자 강인욱 교수님, 이집트 고고학자 곽민수 소장님, 조선사 신병주 교수님을 모시고 아들과 사이가 안 좋았던 조선시대 왕들에 대해 이야기해봤습니다.
  …
...더보기",,,,https://www.youtube.com/watch?v=IE1k_uFni64,2026-01-18T14:04:06.896117
73,maxai,sns,youtube,위버스브레인,,"오늘은 공포 유튜버 쌈무이님, 전재홍 형사님, 그리고 퇴귀사 박이율님과 함께 부산에서 특별히 더 무섭고 소름돋는 오싹한 이야기들을 나누어 보았습니다.
 …
...더보기",,,,https://www.youtube.com/watch?v=EgY6lUHBoX0,2026-01-18T14:04:06.896117
74,maxai,sns,youtube,위버스브레인,,"-성 디자인 영상
   • Minecraft: How To Build A Castle | Tutorial  
 …
...더보기",,,,https://www.youtube.com/watch?v=EVaxZZxCfH0,2026-01-18T14:04:06.896118
75,maxai,sns,youtube,위버스브레인,,"구독 좋아요 누르면 시크릿 나옴!!!!! 😄 

 …
...더보기",,,,https://www.youtube.com/watch?v=bgmDNShIPL4,2026-01-18T14:04:06.896119
76,maxai,sns,youtube,위버스브레인,,"요즘같이 고물가 시대에 맨시티를 이 가격에 짤 수 있다고?? 단일은 엄청나게 많지만 그 중 비싼 단일이 정해져있는데 맨시티 단일은 비싼편이지 않나요?? 그런데 이 TP로 성능까지 챙겨서 맨시티를 짤 수 있다면 진짜 개꿀 스쿼드다!!
 …
...더보기",,,,https://www.youtube.com/watch?v=Nj-epchJ0GA,2026-01-18T14:04:06.896120
77,maxai,sns,youtube,위버스브레인,,"#로블록스

팬카페 : https://cafe.naver.com/hama3750 …
...더보기",,,,https://www.youtube.com/watch?v=3pYWWPwq410,2026-01-18T14:04:06.896121
78,maxai,sns,youtube,위버스브레인,,"오늘은 1980년대 옛날군대로 돌아가보겠습니다.
그때 그시절의 군인은 어땠는지 직접 체험해보시겠습니다. 
...더보기",,,,https://www.youtube.com/watch?v=DpyZprPjZiQ,2026-01-18T14:04:06.896122
79,maxai,sns,youtube,위버스브레인,,"오늘은 영미터가 본계정에서 정말 오래 썼던 로메로 8진을 판매해왔습니다!
어제 드사이 영입으로 떠나보내게 되었는데, 이 생긴 TP로 이번에는 어떤 걸 할까요??
영상이 재미있으셨다면 구독, 좋아요, 댓글 부탁드릴게요~ …
...더보기",,,,https://www.youtube.com/watch?v=mPbOAm23GNU,2026-01-18T14:04:06.896123
80,maxai,sns,youtube,위버스브레인,,"홀하~ 모바일 게임 꿀팁 전문 크리에이터 홀릿입니다!
여러가지 모바일 게임 꿀팁 컨텐츠와 꿀잼 예능 컨텐츠를 제작하고 있습니다.
 …
...더보기",,,,https://www.youtube.com/watch?v=h7mz3NpLuMA,2026-01-18T14:04:06.896123
81,maxai,sns,youtube,위버스브레인,,"창작채널입니다
등장하는 인물, 배경, 음식 등은 모두 실제가 아닌 가상의 이미지이며,  
재미와 상상력을 위한 오락 및 패러디 목적으로 제작되었습니다.   …
...더보기",,,,https://www.youtube.com/watch?v=jNLOxnl2uqY,2026-01-18T14:04:06.896124
82,maxai,sns,youtube,위버스브레인,,"#로블록스 #로블 #게임 #shorts #싸모스 #브레인롯 #브레인롯훔치기 
진짜 다 가지고 싶네요 ㅠㅠ 
...더보기",,,,https://www.youtube.com/watch?v=eKeNvrOV1VE,2026-01-18T14:04:06.896128
84,maxai,sns,youtube,위버스브레인,,"#stealabrainrot #shorts 
...더보기",,,,https://www.youtube.com/watch?v=hiUJPvlmX54,2026-01-18T14:04:06.896130
85,maxai,sns,youtube,위버스브레인,,"#브레인롯훔치기로블록스 #roblox #99nightintheforest #99일 
...더보기",,,,https://www.youtube.com/watch?v=Cco4zd5xEhc,2026-01-18T14:04:06.896131
86,maxai,sns,youtube,위버스브레인,,"#shorts 
미국에서 난리난 세상에서 가장 매운 껌 
...더보기",,,,https://www.youtube.com/watch?v=HzhOPBdE7_I,2026-01-18T14:04:06.896132
89,maxai,sns,youtube,위버스브레인,,"브레인롯훔치기에서 대박 비싼 어드민을 샀다가 엄청난 버그를 찾아버렸습니다..
#브레인롯훔치기로블록스 #브레인롯훔치기 #로블록스
 …
...더보기",,,,https://www.youtube.com/watch?v=DV1tDzGI-jc,2026-01-18T14:04:06.896135
